OrderDate,StockDate,OrderNumber,Product_ID,Customer_ID,Territory_ID,OrderLineItem,OrderQuantity
1/1/2016,10/17/2002,SO48797,385,124335,1,1,1
1/1/2016,9/30/2002,SO48802,383,134923,9,1,1
1/1/2016,11/29/2002,SO48801,326,125493,1,1,1
1/1/2016,11/16/2002,SO48799,352,136708,4,1,1
1/1/2016,12/16/2002,SO48798,369,133332,9,1,1
1/1/2016,12/2/2002,SO48800,342,125491,5,1,1
1/1/2016,10/19/2002,SO48795,375,126538,8,1,1
1/1/2016,11/23/2002,SO48796,375,125094,7,1,1
1/2/2016,12/1/2002,SO48804,356,122276,8,1,1
1/2/2016,9/12/2002,SO48814,360,123647,9,1,1
1/2/2016,10/30/2002,SO48812,356,123630,9,1,1
1/2/2016,9/15/2002,SO48803,383,129416,10,1,1
1/2/2016,11/23/2002,SO48809,369,133411,9,1,1
1/2/2016,10/27/2002,SO48807,324,130892,10,1,1
1/2/2016,10/10/2002,SO48805,330,129318,7,1,1
1/2/2016,12/11/2002,SO48808,368,126552,8,1,1
1/2/2016,10/18/2002,SO48813,362,123631,9,1,1
1/2/2016,10/22/2002,SO48810,369,133415,9,1,1
1/2/2016,11/30/2002,SO48806,340,130885,10,1,1
1/2/2016,10/6/2002,SO48811,334,125517,4,1,1
1/3/2016,9/6/2002,SO48819,352,123622,9,1,1
1/3/2016,10/29/2002,SO48817,373,136049,6,1,1
1/3/2016,12/4/2002,SO48820,358,123958,9,1,1
1/3/2016,9/10/2002,SO48815,377,127700,10,1,1
1/3/2016,10/11/2002,SO48818,332,125497,4,1,1
1/3/2016,11/15/2002,SO48821,379,133344,9,1,1
1/3/2016,12/16/2002,SO48816,356,122459,10,1,1
1/4/2016,9/15/2002,SO48827,360,136729,1,1,1
1/4/2016,10/25/2002,SO48825,373,133414,9,1,1
1/4/2016,10/2/2002,SO48829,368,133121,9,1,1
1/4/2016,12/6/2002,SO48822,379,127743,10,1,1
1/4/2016,11/30/2002,SO48824,369,133408,9,1,1
1/4/2016,10/27/2002,SO48828,369,133120,9,1,1
1/4/2016,12/13/2002,SO48823,369,126821,8,1,1
1/4/2016,9/15/2002,SO48826,369,133421,9,1,1
1/5/2016,11/2/2002,SO48835,360,131148,6,1,1
1/5/2016,12/15/2002,SO48832,373,133418,9,1,1
1/5/2016,11/1/2002,SO48831,326,130886,10,1,1
1/5/2016,9/11/2002,SO48836,360,123959,9,1,1
1/5/2016,11/3/2002,SO48834,352,136695,4,1,1
1/5/2016,11/5/2002,SO48833,373,133118,9,1,1
1/5/2016,10/24/2002,SO48830,371,127750,10,1,1
