OrderDate,StockDate,OrderNumber,Product_ID,Customer_ID,Territory_ID,OrderLineItem,OrderQuantity
1/1/2015,9/21/2001,SO45080,332,124657,1,1,1
1/1/2015,12/5/2001,SO45079,312,139255,4,1,1
1/1/2015,10/29/2001,SO45082,350,121455,9,1,1
1/1/2015,11/16/2001,SO45081,338,136782,6,1,1
1/2/2015,12/15/2001,SO45083,312,124947,10,1,1
1/2/2015,10/12/2001,SO45084,310,139143,4,1,1
1/2/2015,12/18/2001,SO45086,314,128747,9,1,1
1/2/2015,10/9/2001,SO45085,312,128746,9,1,1
1/3/2015,10/3/2001,SO45093,312,128906,9,1,1
1/3/2015,9/29/2001,SO45090,310,139170,4,1,1
1/3/2015,12/11/2001,SO45088,345,121398,10,1,1
1/3/2015,10/24/2001,SO45092,313,128899,9,1,1
1/3/2015,12/16/2001,SO45089,351,135977,4,1,1
1/3/2015,10/26/2001,SO45091,314,128909,9,1,1
1/3/2015,9/11/2001,SO45087,350,121388,10,1,1
1/3/2015,9/11/2001,SO45094,310,132785,6,1,1
1/4/2015,10/30/2001,SO45096,312,122483,7,1,1
1/4/2015,10/30/2001,SO45097,313,139151,4,1,1
1/4/2015,9/15/2001,SO45098,310,139167,1,1,1
1/4/2015,12/7/2001,SO45095,344,121394,10,1,1
1/4/2015,12/20/2001,SO45099,312,139174,1,1,1
1/5/2015,9/19/2001,SO45101,313,132748,6,1,1
1/5/2015,11/21/2001,SO45100,326,129428,8,1,1
1/5/2015,11/24/2001,SO45102,310,139274,4,1,1
1/6/2015,10/17/2001,SO45104,310,139142,4,1,1
1/6/2015,10/1/2001,SO45108,310,132975,6,1,1
1/6/2015,11/21/2001,SO45105,312,132765,6,1,1
1/6/2015,9/24/2001,SO45103,310,139140,1,1,1
1/6/2015,11/12/2001,SO45106,348,129987,6,1,1
1/6/2015,12/14/2001,SO45107,312,139275,4,1,1
1/7/2015,11/5/2001,SO45109,311,124937,10,1,1
1/7/2015,9/17/2001,SO45112,324,130558,10,1,1
1/7/2015,11/9/2001,SO45111,326,135713,9,1,1
1/7/2015,12/5/2001,SO45110,311,128710,9,1,1
1/8/2015,12/14/2001,SO45119,314,128740,9,1,1
1/8/2015,11/21/2001,SO45117,342,124727,1,1,1
1/8/2015,11/24/2001,SO45116,311,139204,1,1,1
1/8/2015,11/1/2001,SO45114,310,139146,1,1,1
1/8/2015,9/20/2001,SO45115,348,135984,4,1,1
1/8/2015,10/29/2001,SO45118,314,128722,9,1,1
1/8/2015,11/11/2001,SO45113,313,139141,4,1,1
1/8/2015,11/25/2001,SO45120,344,121751,9,1,1
1/9/2015,11/22/2001,SO45124,313,128725,9,1,1
1/9/2015,12/23/2001,SO45122,314,139236,4,1,1
1/9/2015,12/12/2001,SO45123,311,132971,6,1,1
1/9/2015,9/24/2001,SO45121,310,139169,1,1,1
1/10/2015,11/20/2001,SO45129,350,121759,9,1,1
1/10/2015,12/12/2001,SO45127,313,139158,1,1,1
1/10/2015,10/7/2001,SO45128,310,128726,9,1,1
1/10/2015,12/26/2001,SO45126,311,122480,7,1,1
1/11/2015,9/22/2001,SO45136,312,129084,9,1,1
1/11/2015,11/30/2001,SO45130,313,124975,10,1,1
1/11/2015,12/13/2001,SO45134,314,132895,6,1,1
1/11/2015,11/13/2001,SO45138,349,121452,9,1,1
1/11/2015,12/7/2001,SO45132,350,135985,4,1,1
1/11/2015,10/10/2001,SO45137,310,128735,9,1,1
1/11/2015,9/26/2001,SO45133,314,139163,1,1,1
1/11/2015,9/14/2001,SO45131,344,135979,1,1,1
1/11/2015,12/3/2001,SO45135,310,139264,4,1,1
1/12/2015,12/25/2001,SO45141,312,139222,4,1,1
1/12/2015,12/25/2001,SO45143,310,139278,4,1,1
1/12/2015,12/26/2001,SO45142,311,132901,6,1,1
1/12/2015,11/28/2001,SO45145,314,128716,9,1,1
1/12/2015,11/25/2001,SO45144,311,129093,9,1,1
1/12/2015,11/17/2001,SO45140,312,122485,7,1,1
1/12/2015,9/25/2001,SO45139,314,122468,7,1,1
1/13/2015,12/10/2001,SO45148,342,124656,1,1,1
1/13/2015,11/28/2001,SO45147,312,139166,4,1,1
1/13/2015,9/25/2001,SO45146,310,124950,10,1,1
1/14/2015,12/8/2001,SO45149,314,124941,10,1,1
1/14/2015,12/24/2001,SO45154,313,128767,9,1,1
1/14/2015,11/27/2001,SO45151,314,139202,1,1,1
1/14/2015,9/18/2001,SO45150,346,135980,1,1,1
1/14/2015,12/30/2001,SO45157,344,121750,9,1,1
1/14/2015,10/13/2001,SO45156,344,121465,9,1,1
1/14/2015,11/5/2001,SO45155,312,128900,9,1,1
1/14/2015,12/8/2001,SO45153,310,129089,9,1,1
1/14/2015,12/25/2001,SO45152,310,139276,1,1,1
1/15/2015,12/19/2001,SO45162,312,128721,9,1,1
1/15/2015,12/5/2001,SO45158,344,138419,7,1,1
1/15/2015,10/19/2001,SO45163,328,135714,9,1,1
1/15/2015,10/26/2001,SO45159,349,121400,10,1,1
1/15/2015,11/20/2001,SO45161,349,135978,4,1,1
1/15/2015,10/11/2001,SO45160,310,124984,10,1,1
1/15/2015,10/4/2001,SO45164,349,121453,9,1,1
